"Are you sure you want to do this?","Are you sure you want to do this?"
Delete,Delete
Save,Save
"Save and Continue Edit","Save and Continue Edit"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
Reply,Reply
Back,Back
Reset,Reset
"Attribute Label","Attribute Label"
"Attribute Code","Attribute Code"
Filter,Filter
Preview,Preview
"Publish Post","Publish Post"
"Save as Draft","Save as Draft"
"Save as draft & Duplicate","Save as draft & Duplicate"
"Schedule Post","Schedule Post"
"Update Post","Update Post"
"Please specify products where the post should be displayed and check the Related Products settings in module configuration. Leave blank to not display post.","Please specify products where the post should be displayed and check the Related Products settings in module configuration. Leave blank to not display post."
Conditions,Conditions
ID,ID
Name,Name
Title,Title
Home,Home
Authors,Authors
"A photo of %1","A photo of %1"
Email,Email
"Text comment here","Text comment here"
"Reply comment","Reply comment"
"Blog Posts from %1","Blog Posts from %1"
"Blog Posts","Blog Posts"
"Tagged with '%1'","Tagged with '%1'"
"Blog Posts (%1)","Blog Posts (%1)"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Author was successfully deleted.","Author was successfully deleted."
"Author could not be deleted.","Author could not be deleted."
"Something went wrong while editing the author.","Something went wrong while editing the author."
"Edit Author","Edit Author"
"New Author","New Author"
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"No records were deleted.","No records were deleted."
"The author was successfully saved.","The author was successfully saved."
"Something went wrong while saving the author.","Something went wrong while saving the author."
"Category was successfully deleted.","Category was successfully deleted."
"Category could not be deleted.","Category could not be deleted."
"Something went wrong while editing the category.","Something went wrong while editing the category."
"Edit Category","Edit Category"
"New Category","New Category"
Categories,Categories
"A total of %1 record(s) were changed.","A total of %1 record(s) were changed."
"No records were changed.","No records were changed."
"No categories data provided.","No categories data provided."
"The category was successfully saved.","The category was successfully saved."
"Something went wrong while saving the category.","Something went wrong while saving the category."
"A record was changed.","A record was changed."
"No record was changed.","No record was changed."
"The comment was successfully created","The comment was successfully created"
"Something went wrong while creating the comment","Something went wrong while creating the comment"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment could not be deleted.","Comment could not be deleted."
"Something went wrong while editing the comment.","Something went wrong while editing the comment."
"Edit Comment","Edit Comment"
"Built-in Comments","Built-in Comments"
"New Comment","New Comment"
"Reply Comment","Reply Comment"
"The comment was successfully saved.","The comment was successfully saved."
"Something went wrong while saving the comment.","Something went wrong while saving the comment."
"A total of %1 email(s) have been updated","A total of %1 email(s) have been updated"
"Email was successfully cancelled.","Email was successfully cancelled."
"Something went wrong while cancelling the email.","Something went wrong while cancelling the email."
"Mail Log","Mail Log"
"Email was successfully sent.","Email was successfully sent."
"This email can not be sent.","This email can not be sent."
"Something went wrong while sending the email.","Something went wrong while sending the email."
"Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file","Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file"
"Please correct the data sent value.","Please correct the data sent value."
"Please provide valid export file name","Please provide valid export file name"
"File %1 deleted","File %1 deleted"
"Sorry, but the data is invalid or the file is not uploaded.","Sorry, but the data is invalid or the file is not uploaded."
"There are no export file with such name %1","There are no export file with such name %1"
"%1 is not a valid file","%1 is not a valid file"
"Post was successfully deleted.","Post was successfully deleted."
"Post could not be deleted.","Post could not be deleted."
"Something went wrong while editing the post.","Something went wrong while editing the post."
"Edit Post","Edit Post"
"New Post","New Post"
Posts,Posts
"Something went wrong. A total of %1 record(s) were changed.","Something went wrong. A total of %1 record(s) were changed."
"Unknown error occured!","Unknown error occured!"
Success.,Success.
"The post was successfully saved.","The post was successfully saved."
"Something went wrong while saving the post.","Something went wrong while saving the post."
"Please provide valid xml file for import","Please provide valid xml file for import"
"%1 post(s) imported successfully","%1 post(s) imported successfully"
"Something went wrong while importing posts","Something went wrong while importing posts"
Blog,Blog
"Subscription settings have been successfully saved.","Subscription settings have been successfully saved."
"Something went wrong while saving subscription settings.","Something went wrong while saving subscription settings."
"Post Comments Notifications","Post Comments Notifications"
"Unsubscribe link has already expired.","Unsubscribe link has already expired."
"Something went wrong while submitting the comment.","Something went wrong while submitting the comment."
"Twitter ID is incorrect.","Twitter ID is incorrect."
"Facebook ID is incorrect.","Facebook ID is incorrect."
"LinkedIn ID is incorrect.","LinkedIn ID is incorrect."
"First Name can't be empty.","First Name can't be empty."
"Last Name can't be empty.","Last Name can't be empty."
"URL-key can't be empty.","URL-key can't be empty."
"This URL-Key is already assigned to another post, author or category.","This URL-Key is already assigned to another post, author or category."
"URL-Key cannot contain capital letters or disallowed symbols.","URL-Key cannot contain capital letters or disallowed symbols."
"Name is required.","Name is required."
"URL-Key is required.","URL-Key is required."
"URL-Key cannot consist only of numbers.","URL-Key cannot consist only of numbers."
"Select store view.","Select store view."
"Author Page URL Suffix contains disallowed characters","Author Page URL Suffix contains disallowed characters"
"URL Suffix for all other pages contains disallowed characters","URL Suffix for all other pages contains disallowed characters"
"Post URL Suffix contains disallowed characters","Post URL Suffix contains disallowed characters"
"Collection item modifier must implement %1","Collection item modifier must implement %1"
"Unknown email metadata modifier for queue item: %1 requested","Unknown email metadata modifier for queue item: %1 requested"
"Unknown subscriber notification group: %1","Unknown subscriber notification group: %1"
"No filter processor for ""%type"" given.","No filter processor for ""%type"" given."
"Filter handler must be instance of ""%interface""","Filter handler must be instance of ""%interface"""
"Given column name ""%columnName"" is not present in collection.","Given column name ""%columnName"" is not present in collection."
"There is no backend type specified for column ""%columnName"".","There is no backend type specified for column ""%columnName""."
"Your export file is ready","Your export file is ready"
"You can pick up your file at export main page","You can pick up your file at export main page"
"Error during export process occurred","Error during export process occurred"
"Error during export process occurred. Please check logs for detail","Error during export process occurred. Please check logs for detail"
"Please enter a correct entity model.","Please enter a correct entity model."
"The entity adapter object must be an instance of %1 or %2.","The entity adapter object must be an instance of %1 or %2."
"The input entity code is not equal to entity adapter code.","The input entity code is not equal to entity adapter code."
"Please enter a correct entity.","Please enter a correct entity."
"The adapter object must be an instance of %1.","The adapter object must be an instance of %1."
"Please correct the file format.","Please correct the file format."
"Data validation failed. Please fix the following errors and upload the file again.","Data validation failed. Please fix the following errors and upload the file again."
"in row(s)","in row(s)"
"Your file was succesfully imported.","Your file was succesfully imported."
"The file is valid, but we can't import it for some reason.","The file is valid, but we can't import it for some reason."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4"
"This file does not contain any data.","This file does not contain any data."
"We can't rebuild the index for an undefined entity.","We can't rebuild the index for an undefined entity."
"Bad value was supplied.","Bad value was supplied."
"Specify captcha component metadata settings","Specify captcha component metadata settings"
"Title is required.","Title is required."
"Content is required.","Content is required."
"Author name is invalid.","Author name is invalid."
"Collection preparer %1 must implement %2","Collection preparer %1 must implement %2"
"The parameter ""class"" is missing. Set the ""class"" and try again.","The parameter ""class"" is missing. Set the ""class"" and try again."
"The parameter ""sortOrder"" is missing. Set the ""sortOrder"" and try again.","The parameter ""sortOrder"" is missing. Set the ""sortOrder"" and try again."
"%1 doesn't implement %2","%1 doesn't implement %2"
"Given provider doesn't implement %1","Given provider doesn't implement %1"
"Enable for Comments from Guests","Enable for Comments from Guests"
"Enable for Comments from Logged in Users","Enable for Comments from Logged in Users"
"Enable for Reply Comments for Guests","Enable for Reply Comments for Guests"
"Enable for Reply Comments for Logged in Users","Enable for Reply Comments for Logged in Users"
"Please select a static block.","Please select a static block."
Disabled,Disabled
Enabled,Enabled
"Guests only","Guests only"
Everyone,Everyone
Pending,Pending
Approve,Approve
Reject,Reject
"Don't display","Don't display"
Disqus,Disqus
Built-in,Built-in
"Products aligned in single row","Products aligned in single row"
"Products aligned in multiple rows","Products aligned in multiple rows"
Slider,Slider
"After post","After post"
"After comments","After comments"
site.com/blog/article,site.com/blog/article
site.com/blog/category/article,site.com/blog/category/article
Sent,Sent
Canceled,Canceled
Failed,Failed
"New Reply Comment","New Reply Comment"
"Comment Published","Comment Published"
"Comment Rejected","Comment Rejected"
"Comment update notifications","Comment update notifications"
"Reply update notifications","Reply update notifications"
"Do not send","Do not send"
Yes,Yes
No,No
"All Groups","All Groups"
Post,Post
"List of Posts","List of Posts"
Draft,Draft
Scheduled,Scheduled
Published,Published
Grid,Grid
List,List
"All Store Views","All Store Views"
"Tag name already exist.","Tag name already exist."
"Empty tags are not allowed.","Empty tags are not allowed."
"Please, specify post","Please, specify post"
"String contains disallowed characters","String contains disallowed characters"
"Test exception","Test exception"
"Cannot delete.","Cannot delete."
"Not found.","Not found."
"Exception message.","Exception message."
"Url Key is not unique.","Url Key is not unique."
Download,Download
"Are you sure you wan't to delete a file?","Are you sure you wan't to delete a file?"
"Go To Comments","Go To Comments"
Drafts,Drafts
"Scheduled Posts","Scheduled Posts"
"Sorry, you need permissions to view this content.","Sorry, you need permissions to view this content."
"Collapse All","Collapse All"
"Expand All","Expand All"
"Download Sample File","Download Sample File"
"Make sure your file isn't more than 256M","Make sure your file isn't more than 256M"
Import,Import
"Choose previously exported xml file, containing posts from Wordpress","Choose previously exported xml file, containing posts from Wordpress"
"Import Posts","Import Posts"
"View all posts by %1","View all posts by %1"
"No authors.","No authors."
"Previous Page","Previous Page"
"Next Page","Next Page"
"By ","By "
"0 Comments","0 Comments"
". ' Comments'",". ' Comments'"
"Read more","Read more"
Share,Share
"Posted in","Posted in"
"%1 and %2","%1 and %2"
"%1, %2 and %3","%1, %2 and %3"
"Comments (%1)","Comments (%1)"
Newest,Newest
Oldest,Oldest
"No comments.","No comments."
"In reply to","In reply to"
"Featured Posts","Featured Posts"
"No posts.","No posts."
PREVIOUS,PREVIOUS
NEXT,NEXT
"Related Posts","Related Posts"
"Related Products","Related Products"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"All Categories","All Categories"
"show more","show more"
"show less","show less"
"Recent posts","Recent posts"
Upload,Upload
Select,Select
"Config Settings","Config Settings"
Use,Use
"Delete image","Delete image"
"Your comment on %post_title has been approved.","Your comment on %post_title has been approved."
"Hello, %subscriber_name!","Hello, %subscriber_name!"
"Your comment status regarding ","Your comment status regarding "
" has been changed to Published."," has been changed to Published."
Comment:,Comment:
"If you don't want these updates anymore, you can unsubscribe ","If you don't want these updates anymore, you can unsubscribe "
here.,here.
"New comment on %post_title","New comment on %post_title"
"There is a new comment on ","There is a new comment on "
Author:,Author:
"Click ","Click "
here,here
" to view it."," to view it."
"New reply on %post_title","New reply on %post_title"
"There is a new reply on ","There is a new reply on "
Reply:,Reply:
"Your comment status regarding","Your comment status regarding"
" has been replied."," has been replied."
"Your comment on %post_title has been rejected.","Your comment on %post_title has been rejected."
" has been changed to Rejected."," has been changed to Rejected."
Cancel,Cancel
